so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,pm10Value,o3Grade,khaiGrade,pm25Value,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,,80,0.003,0.3,,,41,2,2,13,,1,,2,,2025-04-08 14:00,1,0.007,2,0.060
1,,85,0.003,0.3,,,55,2,2,21,,1,,2,,2025-04-08 13:00,1,0.008,2,0.061
1,,87,0.002,0.3,,,57,2,2,32,,1,,2,,2025-04-08 12:00,1,0.010,2,0.068
1,,90,0.003,0.4,,,68,2,2,35,,1,,2,,2025-04-08 11:00,1,0.018,2,0.065
1,,90,0.003,0.4,,,75,2,2,36,,1,,2,,2025-04-08 10:00,1,0.017,2,0.069
1,,87,0.002,0.5,,,81,2,2,43,,1,,2,,2025-04-08 09:00,1,0.024,2,0.059
1,,87,0.002,0.4,,,76,2,2,39,,1,,2,,2025-04-08 08:00,1,0.022,2,0.061
1,,85,0.003,0.4,,,72,2,2,37,,1,,2,,2025-04-08 07:00,1,0.015,2,0.069
1,,88,0.003,0.4,,,70,2,2,33,,1,,2,,2025-04-08 06:00,1,0.011,2,0.075
1,,87,0.003,0.4,,,75,2,2,42,,1,,2,,2025-04-08 05:00,1,0.012,2,0.075
